round,seed0,seed1,seed2
0,0,0,0
1,76.26958179,75.2309618,75.89991689
2,75.34443307,73.18883109,75.32570195
3,76.57358861,75.95806932,75.06132054
4,75.2991395,75.19783998,76.07742643
5,74.15505505,74.15186024,76.27802563
6,76.91772485,76.11600375,76.02112699
7,74.04666781,74.50320458,77.50454593
8,75.89705491,74.99149632,77.3328619
9,74.6003449,73.97528696,76.84162545
10,77.36836052,75.47296596,73.5625298
11,75.66899991,75.83865547,76.69278502
12,73.5454092,77.67416096,75.72682405
13,76.82486415,75.39160752,75.60282969
14,76.23853707,76.1215651,76.06484318
15,74.16182089,76.23721838,76.08438325
16,77.08259416,77.44922972,76.58847237
17,76.32582712,77.45950103,74.34393978
18,75.42233491,78.4850893,76.06353426
19,76.70086002,74.91388178,75.7528348
20,73.07749057,75.80139399,78.6278069
